Harmonized Name,Harmonized ID (Pubchem ID),Database,Name in Database,Source for Clinical Information,Clinical Phase,MOA,Targets
PIK-75,9825070,CTRPv1,PIK-75,Broad DRH,Preclinical,DNA protein kinase inhibitor|PI3K inhibitor,PIK3CA|PIK3CB|PIK3CD|PIK3CG|PRKDC
PF-3845,25154867,CTRPv1,PF-3845,Broad DRH,Preclinical,FAAH inhibitor,FAAH
Ro-28-1675,9799942,CTRPv1,Ro-28-1675,Broad DRH,Preclinical,glucokinase activator,GCK
Lonidamine,39562,CTRPv1,lonidamine,Broad DRH,Launched,glucokinase inhibitor,GCK
isoliquiritigenin,425,CTRPv1,isoliquiritigenin,Broad DRH,Preclinical,guanylate cyclase activator,GABBR1
BRD8958,1285940,CTRPv1,BRD8958,Broad DRH,Preclinical,histone acetyltransferase inhibitor,EP300
UNC0321,46901937,CTRPv1,UNC0321,Broad DRH,Preclinical,histone lysine methyltransferase inhibitor,EHMT2
Rosiglitazone,77999,CTRPv1,rosiglitazone,Broad DRH,Withdrawn,insulin sensitizer|PPAR receptor agonist,ACSL4|FFAR1|PPARG|TRPC5|TRPM3
MK-591,60923,CTRPv1,MK-591,Broad DRH,Phase 2,leukotriene synthesis inhibitor,ALOX5|ALOX5AP
Zileuton,60490,CTRPv1,zileuton,Broad DRH,Launched,leukotriene synthesis inhibitor|lipoxygenase inhibitor,ALOX5
4-IPP,817368,CTRPv1,4-IPP,Broad DRH,Preclinical,macrophage migration inhibiting factor inhibitor,MIF
VX-11e,11634725,CTRPv1,Compound 11e,Broad DRH,Preclinical,MAP kinase inhibitor,MAPK1
SJ-172550,1317464,CTRPv1,SJ-172550,Broad DRH,Preclinical,MDM inhibitor,MDM4
eflornithine,3009,CTRPv1,eflornithine,Broad DRH,Launched,ornithine decarboxylase inhibitor,ARG2|ODC1
3-aminobenzamide,1645,CTRPv1,3-aminobenzamide,Broad DRH,Phase 2,PARP inhibitor,PARP1
NU 1025,63306,CTRPv1,NU 1025,Broad DRH,Preclinical,PARP inhibitor,PARP1
BMS-191011,10474339,CTRPv1,BMS-191011,Broad DRH,Preclinical,potassium channel activator,KCNMA1
dichloroacetic acid,6597,CTRPv1,dichloroacetic acid,Broad DRH,Phase 3,pyruvate dehydrogenase kinase inhibitor,PDK1
CD-437,135411,CTRPv1,CD-437,Broad DRH,Preclinical,retinoid receptor agonist,RARG
TTNBP,5289501,CTRPv1,TTNBP,Broad DRH,Phase 1,retinoid receptor agonist,RARA|RARB|RARG
RepSox,449054,CTRPv1,RepSox,Broad DRH,Preclinical,TGF beta receptor inhibitor,TGFBR1
PX-12,219104,CTRPv1,PX-12,Broad DRH,Phase 2,thioredoxin inhibitor,TXN|TXNRD1
ABT-751,3035714,CTRPv1,ABT-751,Broad DRH,Phase 2,tubulin polymerization inhibitor,TUBB
16-beta-bromoandrosterone,16219061,CTRPv1,16-beta-bromoandrosterone,#N/A,,#N/A,#N/A
"2,4-dideoxy-DC-45-A2",noID1,CTRPv1,"2,4-dideoxy-DC-45-A2",#N/A,,#N/A,#N/A
BRD0713,71500434,CTRPv1,BRD0713,#N/A,,#N/A,#N/A
BRD4046,71500435,CTRPv1,BRD4046,#N/A,,#N/A,#N/A
BRD4132,7326481,CTRPv1,BRD4132,#N/A,,#N/A,#N/A
BRD4372,71500765,CTRPv1,BRD4372,#N/A,,#N/A,#N/A
BRD5802,noID4,CTRPv1,BRD5802,#N/A,,#N/A,#N/A
BRD6340,1641662,CTRPv1,BRD6340,#N/A,,#N/A,#N/A
BRD6368,16759925,CTRPv1,BRD6368,#N/A,,#N/A,#N/A
BRD6825,54666404,CTRPv1,BRD6825,#N/A,,#N/A,#N/A
BRD7137,659101,CTRPv1,BRD7137,#N/A,,#N/A,#N/A
BRD8097,71500438,CTRPv1,BRD8097,#N/A,,#N/A,#N/A
BRD8418,71500436,CTRPv1,BRD8418,#N/A,,#N/A,#N/A
BRD9647,1242560,CTRPv1,BRD9647,#N/A,,#N/A,#N/A
BRD9658,noID2,CTRPv1,BRD9658,#N/A,,#N/A,#N/A
BRD9876,613000,CTRPv1,BRD9876,#N/A,,#N/A,#N/A
CCT036477,3634881,CTRPv1,CCT036477,#N/A,,#N/A,#N/A
neuronal differentiation inducer III,19582717,CTRPv1,CHEMBL1222381,#N/A,,#N/A,#N/A
ML029,2858522,CTRPv1,CHEMBL374350,#N/A,,#N/A,#N/A
CIL41,2841722,CTRPv1,CIL41,#N/A,,#N/A,#N/A
CIL70,3815108,CTRPv1,CIL70,#N/A,,#N/A,#N/A
Compound 23 citrate,44185566,CTRPv1,Compound 23 citrate,#N/A,,#N/A,#N/A
darinaparsin,11683005,CTRPv1,darinaparsin,#N/A,,#N/A,#N/A
DC-45-A2,noID6,CTRPv1,DC-45-A2,#N/A,,#N/A,#N/A
Erastin-A8,44205649,CTRPv1,erastin-A8,#N/A,,#N/A,#N/A
kahalalide F,6436220,CTRPv1,kahalalide F,#N/A,,#N/A,#N/A
Leucascandrolide A,10818492,CTRPv1,leucascandrolide A,#N/A,,#N/A,#N/A
BRD8872,1517919,CTRPv1,ML150,#N/A,,#N/A,#N/A
BRD8391,25237433,CTRPv1,ML159,#N/A,,#N/A,#N/A
BRD6152,824820,CTRPv1,ML160,#N/A,,#N/A,#N/A
pandacostat,44543714,CTRPv1,pandacostat,#N/A,,#N/A,#N/A
Panduratin A,6483648,CTRPv1,panduratin A,#N/A,,#N/A,#N/A
PL-DI,noID21,CTRPv1,PL-DI,#N/A,,#N/A,#N/A
WT-161,19254,CTRPv1,WT-161,#N/A,,#N/A,#N/A
"16,16-dimethylprostaglandin-E2",5283066,CTRPv1,"16,16-dimethylprostaglandin-E2",CTRP_V1,,0,PTGER3|PTGER4
2-fluoropalmitic acid,1560,CTRPv1,2-fluoropalmitic acid,CTRP_V1,,0,ACSL1|ACSL3|ACSL4|ACSL5|ACSL6
3-chloro-L-alanine,78,CTRPv1,3-chloro-L-alanine,CTRP_V1,,0,GPT
5-benzyl-9-tert-butyl-paullone,44818427,CTRPv1,5-benzyl-9-tert-butyl-paullone,CTRP_V1,,0,MDH2
6-NBDG,101768903,CTRPv1,6-NBDG,CTRP_V1,,0,HK1|HK2
ABH,9793992,CTRPv1,ABH,CTRP_V1,,0,ARG2
BIX-01338,56676725,CTRPv1,BIX-01338,CTRP_V1,,0,EHMT1|EHMT2
bovinocidin,1678,CTRPv1,bovinocidin,CTRP_V1,,0,SDHA|SDHB|SDHC|SDHD
BRD63610,9543513,CTRPv1,BRD63610,CTRP_V1,,0,NAMPT
CHEMBL399379,16747776,CTRPv1,CHEMBL399379,CTRP_V1,,0,ACLY
Compound 10b,noID17,CTRPv1,Compound 10b,CTRP_V1,,0,MAP3K8
Compound 110,24905203,CTRPv1,Compound 110,CTRP_V1,,0,PIK3CA
Compound 2,6914573,CTRPv1,Compound 2,CTRP_V1,,0,BCAT1
Compound 4,24857885,CTRPv1,Compound 4,CTRP_V1,,0,PTPN1
Compound 44,5758458,CTRPv1,Compound 44,CTRP_V1,,0,CDC25B
DG-041,11296282,CTRPv1,DG-041,CTRP_V1,,0,PTGER3
DL-TBOA,4133412,CTRPv1,DL-TBOA,CTRP_V1,,0,SLC1A3|SLC1A2|SLC1A1|SLC1A6|SLC1A7
ethylidene glucose,93075,CTRPv1,ethylidene glucose,CTRP_V1,,0,SLC2A1|SLC2A3
FMK-PA,11987558,CTRPv1,FMK-PA,CTRP_V1,,0,RPS6KA1|RPS6KA3
Gly-Gly-PALO,172813,CTRPv1,Gly-Gly-PALO,CTRP_V1,,0,OTC
IWP-2,2155128,CTRPv1,IWP-2,CTRP_V1,,0,PORCN
lovastatin acid,64727,CTRPv1,lovastatin acid,CTRP_V1,,0,HMGCR
ML007,976135,CTRPv1,ML007,CTRP_V1,,0,S1PR1
ML030,17757146,CTRPv1,ML030,CTRP_V1,,0,PDE4A|PDE4B|PDE4D
ML038,2946732,CTRPv1,ML038,CTRP_V1,,0,ALPI
ML039,24178170,CTRPv1,ML039,CTRP_V1,,0,ALPL
ML090,616479,CTRPv1,ML090,CTRP_V1,,0,NOX1
ML101,25241665,CTRPv1,ML101,CTRP_V1,,0,XIAP|BIRC2|BIRC3
N5-iminoethyl-L-ornithine,107984,CTRPv1,N5-iminoethyl-L-ornithine,CTRP_V1,,0,NOS3
N-oxalyl-D-phenylalanine,5288998,CTRPv1,N-oxalyl-D-phenylalanine,CTRP_V1,,0,HIF1AN
oxythiamine,8681,CTRPv1,oxythiamine,CTRP_V1,,0,TKT
P-0850,53438230,CTRPv1,P-0850,CTRP_V1,,0,BRAF
PIK-90,6857685,CTRPv1,PIK-90,CTRP_V1,,0,PIK3CA|PIK3CB|PIK3CD|PIK3CG
PT-630,68508601,CTRPv1,PT-630,CTRP_V1,,0,FAP
UK 356618,10370504,CTRPv1,UK 356618,CTRP_V1,,0,MMP3
10-DEBC,10521421,CTRPv1,10-DEBC,Broad DRH,Preclinical,AKT inhibitor,PIM1
Compound 12,56839178,CTRPv1,Compound 12,Broad DRH,Preclinical,AXL kinase inhibitor,AXL
HA-1004,3546,CTRPv1,HA-1004,Broad DRH,Phase 2,calcium channel blocker,0
nimodipine,4497,CTRPv1,nimodipine,Broad DRH,Launched,calcium channel blocker,AHR|CACNA1C|CACNA1D|CACNA1F|CACNA1S|CACNB1|CACNB2|CACNB3|CACNB4|CFTR|NR3C2
carbamazepine,2554,CTRPv1,carbamazepine,Broad DRH,Launched,carboxamide antiepileptic,SCN10A|SCN11A|SCN1A|SCN2A|SCN3A|SCN4A|SCN5A|SCN7A|SCN8A|SCN9A
maraviroc,3002977,CTRPv1,maraviroc,Broad DRH,Launched,CC chemokine receptor antagonist,CCR5
YM-022,122130,CTRPv1,YM-022,Broad DRH,Phase 2,CCK receptor antagonist,CCKBR
MPEP,3025961,CTRPv1,MPEP,Broad DRH,Preclinical,glutamate receptor antagonist,GRM1|GRM4|GRM5
LY-2365109,11552757,CTRPv1,LY-2365109,Broad DRH,Preclinical,Glycine transporter 1 inhibitor,SLC6A9
2-deoxyglucose,439268,CTRPv1,2-deoxyglucose,Broad DRH,Phase 2,glycolysis inhibitor,SLC2A1|SLC2A2|SLC2A3|SLC2A4
BRD4770,72193870,CTRPv1,BRD4770,Broad DRH,Preclinical,histone lysine methyltransferase inhibitor,EHMT2
minoxidil,4201,CTRPv1,minoxidil,Broad DRH,Launched,KATP activator|Kir6 channel (KATP) activator|vasodilator,ABCC9|KCNJ1|KCNJ10|KCNJ11|KCNJ8|PTGS1
batimastat,2299,CTRPv1,batimastat,Broad DRH,Phase 3,matrix metalloprotease inhibitor,ADAM28|ADAMTS5|MMP12|MMP16|MMP2|MMP8
7-nitroindazole,1893,CTRPv1,7-nitroindazole,Broad DRH,Preclinical,nitric oxide synthase inhibitor,NOS1|NOS2|NOS3
AG14361,9840076,CTRPv1,AG14361,Broad DRH,Preclinical,PARP inhibitor,PARP1
PJ 34,4858,CTRPv1,PJ 34,Broad DRH,Preclinical,PARP inhibitor,EEF2|PARP1|PARP15|PARP3
RS-23597-190,182593,CTRPv1,RS-23597-190,Broad DRH,Preclinical,serotonin receptor antagonist,HTR4
irosustat,5287541,CTRPv1,irosustat,Broad DRH,Phase 2,steroid sulfatase inhibitor,CA2|STS
penfluridol,33630,CTRPv1,penfluridol,Broad DRH,Launched,T-type calcium channel blocker,CACNA1G
(-)-gallocatechin-3-monogallate,199472,CTRPv1,(-)-gallocatechin-3-monogallate,#N/A,,#N/A,#N/A
6-methoxyharmalan,5474706,CTRPv1,6-methoxyharmalan,#N/A,,#N/A,#N/A
alpha-cyano-4-hydroxycinnamic acid,2102,CTRPv1,alpha-cyano-4-hydroxycinnamic acid,#N/A,,#N/A,#N/A
bistramide A,5282582,CTRPv1,bistramide A,#N/A,,#N/A,#N/A
BRD0476,46907798,CTRPv1,BRD0476,#N/A,,#N/A,#N/A
BRD1429,24059344,CTRPv1,BRD1429,#N/A,,#N/A,#N/A
BRD1566,44484545,CTRPv1,BRD1566,#N/A,,#N/A,#N/A
BRD2296,noID8,CTRPv1,BRD2296,#N/A,,#N/A,#N/A
BRD2572,71500437,CTRPv1,BRD2572,#N/A,,#N/A,#N/A
BRD2649,noID9,CTRPv1,BRD2649,#N/A,,#N/A,#N/A
BRD2662,877874,CTRPv1,BRD2662,#N/A,,#N/A,#N/A
BRD2762,noID10,CTRPv1,BRD2762,#N/A,,#N/A,#N/A
BRD32048,704129,CTRPv1,BRD32048,#N/A,,#N/A,#N/A
BRD4354,3516032,CTRPv1,BRD4354,#N/A,,#N/A,#N/A
BRD4470,2294212,CTRPv1,BRD4470,#N/A,,#N/A,#N/A
BRD4479,1288426,CTRPv1,BRD4479,#N/A,,#N/A,#N/A
BRD55319,44240264,CTRPv1,BRD55319,#N/A,,#N/A,#N/A
BRD5586,5398113,CTRPv1,BRD5586,#N/A,,#N/A,#N/A
BRD6150,noID12,CTRPv1,BRD6150,#N/A,,#N/A,#N/A
BRD6413,952391,CTRPv1,BRD6413,#N/A,,#N/A,#N/A
BRD9571,noID13,CTRPv1,BRD9571,#N/A,,#N/A,#N/A
BRD9786,noID15,CTRPv1,BRD9786,#N/A,,#N/A,#N/A
CID 2853753,2853753,CTRPv1,CID 2853753,#N/A,,#N/A,#N/A
iso-DC-45-A2,noID19,CTRPv1,iso-DC-45-A2,#N/A,,#N/A,#N/A
ML013,664279,CTRPv1,ML013,#N/A,,#N/A,#N/A
ML037,2878746,CTRPv1,ML037,#N/A,,#N/A,#N/A
ML052,3240581,CTRPv1,ML052,#N/A,,#N/A,#N/A
ML100,3380841,CTRPv1,ML100,#N/A,,#N/A,#N/A
ML214,701939,CTRPv1,ML214,#N/A,,#N/A,#N/A
"racemic-2,4-dideoxy-DC-45-A2",noID22,CTRPv1,"racemic-2,4-dideoxy-DC-45-A2",#N/A,,#N/A,#N/A
ubistatin B,44145497,CTRPv1,ubistatin B,#N/A,,#N/A,#N/A
Tanespimycin,151069,CTRPv2,tanespimycin,Broad DRH,Phase 3,HSP inhibitor,HSP90AA1
Saracatinib,10302451,CTRPv2,saracatinib,Broad DRH,Phase 2/Phase 3,src inhibitor,ABL1|LCK|SRC|YES1
Selumetinib,10127622,CTRPv2,selumetinib,Broad DRH,Phase 3,MEK inhibitor,MAP2K1
Erlotinib,176870,CTRPv2,erlotinib,Broad DRH,Launched,EGFR inhibitor,EGFR|NR1I2
SN-38,104842,CTRPv2,SN-38,Broad DRH,Launched,topoisomerase inhibitor,TOP1
L-685458,3849,CTRPv2,L-685458,CTRP_V2,,0,APH1A|NCSTN|PSEN1|PSENEN
Lapatinib,208908,CTRPv2,lapatinib,Broad DRH,Launched,EGFR inhibitor,EGFR|ERBB2
Nilotinib,644241,CTRPv2,nilotinib,Broad DRH,Launched,Abl kinase inhibitor|Bcr-Abl kinase inhibitor,ABL1|KIT
Nutlin-3a (-),11433190,CTRPv2,nutlin-3,Broad DRH,Preclinical,MDM inhibitor,MDM2|TP53
Paclitaxel,4666,CTRPv2,paclitaxel,Broad DRH,Launched,tubulin polymerization inhibitor,BCL2|MAP2|MAP4|MAPT|NR1I2|TLR4|TUBB|TUBB1
Panobinostat,6918837,CTRPv2,LBH-589,Broad DRH,Launched,HDAC inhibitor,HDAC1|HDAC2|HDAC3|HDAC4|HDAC6|HDAC7|HDAC8|HDAC9
Crizotinib,11597571,CTRPv2,crizotinib,Broad DRH,Launched,ALK tyrosine kinase receptor inhibitor,ALK|MET
PLX-4720,24180719,CTRPv2,PLX-4720,Broad DRH,Preclinical,RAF inhibitor,BRAF|KDR
RAF265,11656518,CTRPv2,RAF265,Broad DRH,Phase 2,RAF inhibitor|VEGFR inhibitor,BRAF
Sorafenib,216239,CTRPv2,sorafenib,Broad DRH,Launched,FLT3 inhibitor|KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|RAF inhibitor|RET tyrosine kinase inhibitor|VEGFR inhibitor,BRAF|DDR2|FGFR1|FLT1|FLT3|FLT4|KDR|KIT|PDGFRB|RAF1|RET
NVP-TAE684,16038120,CTRPv2,NVP-TAE684,Broad DRH,Preclinical,ALK tyrosine kinase receptor inhibitor,ALK|INSR
Topotecan,60699,CTRPv2,topotecan,Broad DRH,Launched,topoisomerase inhibitor,TOP1|TOP1MT
Vandetanib,3081361,CTRPv2,vandetanib,Broad DRH,Launched,EGFR inhibitor|RET tyrosine kinase inhibitor|VEGFR inhibitor,EGFR|EPHA1|EPHA10|EPHA2|EPHA3|EPHA4|EPHA5|EPHA6|EPHA7|EPHA8|EPHB1|EPHB2|EPHB3|EPHB4|EPHB6|ERBB2|ERBB3|ERBB4|FLT1|FLT4|KDR|PTK6|RET|SRC|TEK|VEGFA
Vorinostat,5311,CTRPv2,vorinostat,Broad DRH,Launched,HDAC inhibitor,HDAC1|HDAC10|HDAC11|HDAC2|HDAC3|HDAC5|HDAC6|HDAC8|HDAC9
Bortezomib,387447,CTRPv2,bortezomib,Broad DRH,Launched,NFkB pathway inhibitor|proteasome inhibitor,PSMA1|PSMA2|PSMA3|PSMA4|PSMA5|PSMA6|PSMA7|PSMA8|PSMB1|PSMB10|PSMB11|PSMB2|PSMB3|PSMB4|PSMB5|PSMB6|PSMB7|PSMB8|PSMB9|PSMD1|PSMD2|RELA
Gemcitabine,60749,CTRPv2,gemcitabine,Broad DRH,Launched,ribonucleotide reductase inhibitor,CMPK1|RRM1|RRM2|TYMS
Gefitinib,123631,CTRPv2,gefitinib,Broad DRH,Launched,EGFR inhibitor,EGFR
Rapamycin,5284616,CTRPv2,sirolimus,Broad DRH,Launched,mTOR inhibitor,FGF2|FKBP1A|MTOR
Dactolisib,11977753,CTRPv2,NVP-BEZ235,Broad DRH,Phase 2,mTOR inhibitor|PI3K inhibitor,ATR|MTOR|PIK3CA|PIK3CD|PIK3CG
Docetaxel,64780,CTRPv2,docetaxel,Broad DRH,Launched,tubulin polymerization inhibitor,BCL2|MAP2|MAP4|MAPT|NR1I2|TUBB|TUBB1
Dasatinib,3062316,CTRPv2,dasatinib,Broad DRH,Launched,Bcr-Abl kinase inhibitor|ephrin inhibitor|KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|src inhibitor|tyrosine kinase inhibitor,ABL1|ABL2|BLK|EPHA2|FGR|FRK|FYN|HCK|KIT|LCK|LYN|PDGFRB|SRC|SRMS|STAT5B|YES1
Imatinib,5291,CTRPv2,imatinib,Broad DRH,Launched,Bcr-Abl kinase inhibitor|KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor,ABL1|CSF1R|DDR1|KIT|NTRK1|PDGFRA|PDGFRB|RET
Tamoxifen,2733526,CTRPv2,tamoxifen,Broad DRH,Launched,estrogen receptor antagonist|selective estrogen receptor modulator (SERM),EBP|ESR1|ESR2|GPER1|PRKCA|PRKCB|PRKCD|PRKCE|PRKCG|PRKCI|PRKCQ|PRKCZ
Sunitinib,3086686,CTRPv2,sunitinib,Broad DRH,Launched,FLT3 inhibitor|KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|RET tyrosine kinase inhibitor|VEGFR inhibitor,0
Olaparib,23725625,CTRPv2,olaparib,Broad DRH,Launched,PARP inhibitor,PARP1|PARP2
Tretinoin,5538,CTRPv2,tretinoin,Broad DRH,Launched,retinoid receptor agonist,RARA|RARB|RARG
5-Fluorouracil,3385,CTRPv2,fluorouracil,Broad DRH,Launched,thymidylate synthase inhibitor,DPYD|TYMS
Doxorubicin,1691,CTRPv2,doxorubicin,Broad DRH,Launched,topoisomerase inhibitor,TOP2A
Etoposide,3310,CTRPv2,etoposide,Broad DRH,Launched,topoisomerase inhibitor,TOP2A|TOP2B
Navitoclax,24978538,CTRPv2,navitoclax,Broad DRH,Phase 2,BCL inhibitor,BCL2|BCL2L1|BCL2L2
Methotrexate,4112,CTRPv2,methotrexate,Broad DRH,Launched,dihydrofolate reductase inhibitor,DHFR
Temozolomide,5394,CTRPv2,temozolomide,Broad DRH,Launched,DNA alkylating agent,MGMT
Oxaliplatin,24197464,CTRPv2,oxaliplatin,Broad DRH,Launched,DNA inhibitor,0
Afatinib,10163178,CTRPv2,afatinib,Broad DRH,Launched,EGFR inhibitor,EGFR|ERBB2|ERBB4
Pazopanib,10113978,CTRPv2,pazopanib,Broad DRH,Launched,KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor,CSF1R|FGF1|FGFR1|FGFR3|FLT1|FLT4|ITK|KDR|KIT|PDGFRA|PDGFRB|SH2B3
Trametinib,11707110,CTRPv2,trametinib,Broad DRH,Launched,MEK inhibitor,MAP2K1|MAP2K2
Axitinib,3086685,CTRPv2,axitinib,Broad DRH,Launched,PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor,CSF1|FLT1|FLT4|KDR|PLK4
BI 2536,11364421,CTRPv2,BI-2536,Broad DRH,Phase 2,PLK inhibitor,BRD4|PLK1|PLK2|PLK3
Cytarabine,596,CTRPv2,cytarabine hydrochloride,Broad DRH,Launched,ribonucleotide reductase inhibitor,POLA1|POLB|POLD1|POLE
Bosutinib,5328940,CTRPv2,bosutinib,Broad DRH,Launched,Abl kinase inhibitor|Bcr-Abl kinase inhibitor|src inhibitor,ABL1|BCR|CAMK1D|CAMK2G|CDK2|FRK|FYN|HCK|LYN|MAP2K1|MAP2K2|MAP3K2|MAP4K5|SRC|STK10|STK24|STK4|TNK2|TXK
JQ1,46907787,CTRPv2,JQ-1,Broad DRH,Preclinical,bromodomain inhibitor,BRD4|BRDT
Carboplatin,2567,CTRPv2,carboplatin,Broad DRH,Launched,DNA alkylating agent|DNA inhibitor,0
Mitomycin-C,5746,CTRPv2,mitomycin,Broad DRH,Launched,DNA alkylating agent|DNA synthesis inhibitor,0
Bleomycin,72466,CTRPv2,bleomycin A2,Broad DRH,Launched,DNA synthesis inhibitor,LIG1|LIG3
Fulvestrant,104741,CTRPv2,fulvestrant,Broad DRH,Launched,estrogen receptor antagonist,ESR1|ESR2|GPER1
Tipifarnib,159324,CTRPv2,tipifarnib-P2,Broad DRH,Phase 3,farnesyltransferase inhibitor,FNTA|FNTB
Entinostat,4261,CTRPv2,entinostat,Broad DRH,Phase 3,HDAC inhibitor,HDAC1|HDAC2|HDAC3|HDAC9
BMS-536924,10390396,CTRPv2,BMS-536924,Broad DRH,Preclinical,IGF-1 inhibitor,AKT1|CCNE1|CDK2|CYP3A4|ERBB2|IGF1R|KDR|LCK|MAPK1|MET|PDGFRA|PDGFRB
BMS-754807,24785538,CTRPv2,BMS-754807,Broad DRH,Phase 2,IGF-1 inhibitor,AKT1|IGF1R
Temsirolimus,148191,CTRPv2,temsirolimus,Broad DRH,Launched,mTOR inhibitor,MTOR
Pevonedistat,16720766,CTRPv2,pevonedistat,Broad DRH,Phase 2,nedd activating enzyme inhibitor,NAE1|UBA3
Daporinad,6914657,CTRPv2,daporinad,Broad DRH,Phase 2,niacinamide phosphoribosyltransferase inhibitor,NAMPT
Pictilisib,17755052,CTRPv2,GDC-0941,Broad DRH,Phase 2,PI3K inhibitor,PIK3CA|PIK3CB|PIK3CD|PIK3CG
Teniposide,5396,CTRPv2,teniposide,Broad DRH,Launched,topoisomerase inhibitor,TOP2A|TOP2B
MK-2206,24964624,CTRPv2,MK-2206,Broad DRH,Phase 2,AKT inhibitor,AKT1|AKT2|AKT3
YK-4-279,44632017,CTRPv2,YK 4-279,Broad DRH,Preclinical,apoptosis inhibitor,EWSR1|FLI1
Obatoclax Mesylate,16681698,CTRPv2,obatoclax,Broad DRH,Phase 3,BCL inhibitor,BCL2
Gossypol,3503,CTRPv2,gossypol,Broad DRH,Phase 2,BCL inhibitor|MCL1 inhibitor,BCL2
PAC-1,5344054,CTRPv2,PAC-1,Broad DRH,Phase 1,caspase activator,CASP3
Itraconazole,3793,CTRPv2,itraconazole,Broad DRH,Launched,cytochrome P450 inhibitor,CYP51A1
Cyclophosphamide,2907,CTRPv2,cyclophosphamide,Broad DRH,Launched,DNA alkylating agent,CYP2A6|CYP2B6|CYP2C18|CYP2C19|CYP2C8|CYP2C9|CYP2D6|CYP3A4|CYP3A5|CYP3A7
Ifosfamide,3690,CTRPv2,ifosfamide,Broad DRH,Launched,DNA alkylating agent,CYP2A6|CYP2B6|CYP2C18|CYP2C19|CYP2C8|CYP2C9|CYP3A4|CYP3A5|CYP3A7|PTGS1
Dacarbazine,5281007,CTRPv2,dacarbazine,Broad DRH,Launched,DNA alkylating agent,PGD|POLA2
Chlorambucil,2708,CTRPv2,chlorambucil,Broad DRH,Launched,DNA inhibitor,0
Bendamustine,65628,CTRPv2,bendamustine,Broad DRH,Launched,DNA inhibitor,0
Decitabine,16886,CTRPv2,decitabine,Broad DRH,Launched,DNA methyltransferase inhibitor,DNMT1|DNMT3A
Fedratinib,16722836,CTRPv2,TG-101348,Broad DRH,Phase 3,FLT3 inhibitor|JAK inhibitor,BRD4|JAK1|JAK2|JAK3|TYK2
Simvastatin,54454,CTRPv2,simvastatin,Broad DRH,Launched,HMGCR inhibitor,HMGCR|ITGB2
Linsitinib,11640390,CTRPv2,linsitinib,Broad DRH,Phase 3,IGF-1 inhibitor,IGF1R|INSR|INSRR
Ruxolitinib,17754772,CTRPv2,ruxolitinib,Broad DRH,Launched,JAK inhibitor,JAK1|JAK2|JAK3|TYK2
Serdemetan,11609586,CTRPv2,serdemetan,Broad DRH,Phase 1,MDM inhibitor,MDM2
PI-103,9884685,CTRPv2,PI-103,Broad DRH,Preclinical,mTOR inhibitor|PI3K inhibitor,MTOR|PIK3CA|PIK3CB|PIK3CD|PIK3CG|PRKDC
Veliparib,11960529,CTRPv2,veliparib,Broad DRH,Phase 3,PARP inhibitor,PARP1|PARP2
Sildenafil citrate,5212,CTRPv2,sildenafil,Broad DRH,Launched,phosphodiesterase inhibitor,PDE5A|PDE6G|PDE6H|SLCO1B1|SLCO1B3
Dabrafenib,44462760,CTRPv2,dabrafenib,Broad DRH,Launched,RAF inhibitor,BRAF|LIMK1|NEK11|RAF1|SIK1
PLX-4032,42611257,CTRPv2,PLX-4032,Broad DRH,Launched,RAF inhibitor,BRAF|RAF1
Clofarabine,119182,CTRPv2,clofarabine,Broad DRH,Launched,ribonucleotide reductase inhibitor,POLA1|POLD1|POLE|RRM1|RRM2|RRM2B
Sepantronium bromide,11178236,CTRPv2,YM-155,Broad DRH,Phase 2,survivin inhibitor,BIRC5
Thalidomide,5426,CTRPv2,thalidomide,Broad DRH,Launched,tumor necrosis factor production inhibitor,CRBN|FGFR2|NFKB1|ORM1|ORM2|PTGS2|TNF
Tozasertib,5494449,CTRPv2,VX-680,Broad DRH,Phase 2,Aurora kinase inhibitor|Bcr-Abl kinase inhibitor|FLT3 inhibitor|JAK inhibitor,AURKA|AURKB|AURKC|LCK
ABT-737,11228183,CTRPv2,ABT-737,Broad DRH,Phase 1/Phase 2,BCL inhibitor,BCL2|BCL2L1|BCL2L2
BRD1812,11238147,CTRPv2,BRD1812,Broad DRH,Preclinical,beta-catenin inhibitor,CTNNB1
tacrolimus,5372,CTRPv2,tacrolimus,Broad DRH,Launched,calcineurin inhibitor,FKBP1A
Azacitidine,1805,CTRPv2,azacitidine,Broad DRH,Launched,DNA methyltransferase inhibitor,DNMT1|DNMT3A
HKI-272,9915743,CTRPv2,neratinib,Broad DRH,Phase 3,EGFR inhibitor,EGFR|ERBB2|KDR
CHIR-99021,9956119,CTRPv2,CHIR-99021,Broad DRH,Preclinical,glycogen synthase kinase inhibitor,CDK1|GSK3A|GSK3B|MAPK1
Belinostat,6918638,CTRPv2,belinostat,Broad DRH,Launched,HDAC inhibitor,HDAC1|HDAC10|HDAC11|HDAC2|HDAC3|HDAC4|HDAC5|HDAC6|HDAC7|HDAC8|HDAC9
